,Open,High,Low,Close,Volume
2011-11-30 02:07:00,1.33447,1.3345,1.33439,1.33447,868899993.8964844
2011-11-30 02:08:00,1.33447,1.33463,1.33446,1.33463,556399993.8964844
2011-11-30 02:09:00,1.33464,1.33477,1.33457,1.33458,1647299957.2753906
2011-11-30 02:10:00,1.33457,1.3347,1.33456,1.33463,861900024.4140625
2011-11-30 02:11:00,1.33463,1.33468,1.33462,1.33462,635699996.9482422
2011-11-30 02:12:00,1.33462,1.33464,1.33431,1.33431,995500030.517578
2011-11-30 02:13:00,1.33431,1.33444,1.33423,1.33435,1140299987.7929688
2011-11-30 02:14:00,1.33433,1.33435,1.3342,1.33428,904300003.0517578
2011-11-30 02:15:00,1.3343,1.3343,1.33415,1.33424,1070599975.5859376
2011-11-30 02:16:00,1.33425,1.33425,1.33418,1.33418,533100013.73291016
2011-11-30 02:17:00,1.33418,1.33421,1.3341,1.33417,1204100036.6210938
2011-11-30 02:18:00,1.33417,1.33421,1.33416,1.33416,496800003.0517578
2011-11-30 02:19:00,1.33418,1.33454,1.33418,1.33454,1371399993.8964844
2011-11-30 02:20:00,1.33455,1.33491,1.33455,1.33461,1767500000.0
2011-11-30 02:21:00,1.33458,1.33465,1.33454,1.33458,1090699996.9482422
2011-11-30 02:22:00,1.33458,1.33458,1.33433,1.33458,792300033.5693359
2011-11-30 02:23:00,1.33458,1.33469,1.33454,1.33454,432900009.15527344
2011-11-30 02:24:00,1.33453,1.33456,1.33453,1.33456,343800010.68115234
2011-11-30 02:25:00,1.33456,1.33472,1.33456,1.33467,791299972.5341797
2011-11-30 02:26:00,1.33467,1.33473,1.33467,1.33472,241000003.81469727
2011-11-30 02:27:00,1.3347,1.3347,1.33466,1.33467,283700008.392334
2011-11-30 02:28:00,1.33467,1.33469,1.33465,1.33469,1528300018.3105469
2011-11-30 02:29:00,1.33469,1.3347,1.3345,1.33452,1260899963.3789062
2011-11-30 02:30:00,1.33452,1.33452,1.3345,1.33451,936200027.4658204
2011-11-30 02:31:00,1.33451,1.33458,1.3345,1.33457,992699966.430664
2011-11-30 02:32:00,1.33456,1.33456,1.33446,1.33446,360400009.15527344
2011-11-30 02:33:00,1.33449,1.33451,1.33446,1.33449,468600006.1035156
2011-11-30 02:34:00,1.33449,1.3345,1.33445,1.33448,491100006.1035156
2011-11-30 02:35:00,1.33446,1.33452,1.33441,1.33447,578199996.9482422
2011-11-30 02:36:00,1.33447,1.33449,1.33444,1.33444,336699981.6894531
2011-11-30 02:37:00,1.33443,1.33446,1.33443,1.33443,218500003.81469727
2011-11-30 02:38:00,1.33443,1.33443,1.33443,1.33443,21199998.85559082
2011-11-30 02:39:00,1.33443,1.33443,1.33419,1.3342,466699981.6894531
2011-11-30 02:40:00,1.3342,1.3342,1.33405,1.33405,830000000.0
2011-11-30 02:41:00,1.33404,1.33435,1.33391,1.33412,1443899993.8964844
2011-11-30 02:42:00,1.33411,1.33411,1.33394,1.33396,664800033.5693359
2011-11-30 02:43:00,1.33396,1.33398,1.33377,1.33385,1343099975.5859375
2011-11-30 02:44:00,1.33383,1.33394,1.33377,1.3339,966100006.1035156
2011-11-30 02:45:00,1.3339,1.3339,1.33379,1.33379,729599990.8447266
2011-11-30 02:46:00,1.33381,1.33397,1.33381,1.33396,481500015.25878906
2011-11-30 02:47:00,1.33394,1.33402,1.33382,1.33387,864400024.4140625
2011-11-30 02:48:00,1.33388,1.33389,1.33357,1.33369,1003199996.9482422
2011-11-30 02:49:00,1.33369,1.33379,1.33362,1.33379,907300033.569336
2011-11-30 02:50:00,1.33379,1.3339,1.33369,1.33383,1125299987.7929688
2011-11-30 02:51:00,1.33385,1.33422,1.33385,1.33422,1121699981.6894531
2011-11-30 02:52:00,1.3342,1.3342,1.33386,1.33386,1322799987.7929688
2011-11-30 02:53:00,1.33386,1.33393,1.33384,1.33391,389300003.0517578
2011-11-30 02:54:00,1.33389,1.33398,1.33386,1.33398,384300003.0517578
2011-11-30 02:55:00,1.33398,1.33415,1.33394,1.33407,918399963.3789062
2011-11-30 02:56:00,1.33407,1.33407,1.33382,1.33385,1105000000.0
2011-11-30 02:57:00,1.33386,1.33395,1.33377,1.33384,1234000015.258789
2011-11-30 02:58:00,1.33382,1.33392,1.33368,1.33372,815599975.5859375
2011-11-30 02:59:00,1.33372,1.33391,1.33372,1.33387,545299987.7929688
2011-11-30 03:00:00,1.33387,1.33406,1.3338,1.33395,1022099990.8447266
2011-11-30 03:01:00,1.33393,1.33395,1.33383,1.33384,453899993.8964844
2011-11-30 03:02:00,1.33382,1.33382,1.33379,1.33382,443800010.68115234
2011-11-30 03:03:00,1.33381,1.33381,1.3334,1.33342,1261600036.6210938
2011-11-30 03:04:00,1.33342,1.33364,1.33342,1.33359,995599975.5859376
2011-11-30 03:05:00,1.33359,1.33375,1.3335,1.33369,1188799972.5341797
2011-11-30 03:06:00,1.33369,1.33388,1.33363,1.33386,1183300018.3105469
2011-11-30 03:07:00,1.33388,1.33388,1.33363,1.33372,592799987.7929688
2011-11-30 03:08:00,1.33374,1.33376,1.3337,1.3337,362999992.3706055
2011-11-30 03:09:00,1.33369,1.33383,1.33366,1.33379,875199966.4306641
2011-11-30 03:10:00,1.33381,1.3339,1.33376,1.33384,1305299987.7929688
2011-11-30 03:11:00,1.33382,1.33383,1.33373,1.3338,607999992.3706055
2011-11-30 03:12:00,1.33384,1.33397,1.33365,1.33365,787900009.1552734
2011-11-30 03:13:00,1.33364,1.33369,1.33345,1.33358,1319299926.7578125
2011-11-30 03:14:00,1.33353,1.33358,1.33332,1.33346,1319299926.7578125
2011-11-30 03:15:00,1.33344,1.33344,1.33312,1.33317,1697500000.0
2011-11-30 03:16:00,1.33317,1.33318,1.33289,1.33291,1113199996.9482422
2011-11-30 03:17:00,1.33288,1.33321,1.33265,1.33305,2471999969.482422
2011-11-30 03:18:00,1.33299,1.33315,1.33296,1.33305,1137900009.1552734
2011-11-30 03:19:00,1.33303,1.33316,1.33295,1.33296,946500015.2587892
2011-11-30 03:20:00,1.33296,1.33298,1.33273,1.33275,1282599945.0683594
2011-11-30 03:21:00,1.33271,1.3328,1.33226,1.33232,1482899932.861328
2011-11-30 03:22:00,1.33233,1.33234,1.3316,1.33175,2971199951.171875
2011-11-30 03:23:00,1.33177,1.33191,1.33173,1.3319,2298099975.585937
2011-11-30 03:24:00,1.33189,1.33202,1.33186,1.33191,1692400054.9316406
2011-11-30 03:25:00,1.33188,1.33188,1.33148,1.33159,1728300018.3105469
2011-11-30 03:26:00,1.33165,1.33203,1.33165,1.33201,1931999969.4824216
2011-11-30 03:27:00,1.33199,1.33229,1.33194,1.33194,1266699981.6894531
2011-11-30 03:28:00,1.33194,1.3321,1.33159,1.33159,1621600036.6210938
2011-11-30 03:29:00,1.33159,1.33197,1.33158,1.33191,1324600067.138672
2011-11-30 03:30:00,1.33189,1.3321,1.3318,1.33203,1328800048.828125
2011-11-30 03:31:00,1.33201,1.33202,1.33185,1.33198,917099990.8447266
2011-11-30 03:32:00,1.332,1.33205,1.33191,1.332,899100036.6210938
2011-11-30 03:33:00,1.33202,1.33202,1.33182,1.33182,506199989.31884766
2011-11-30 03:34:00,1.33182,1.33186,1.33172,1.33182,830199966.4306641
2011-11-30 03:35:00,1.33184,1.33192,1.33182,1.3319,413199996.9482422
2011-11-30 03:36:00,1.3319,1.33209,1.33183,1.33207,1435299987.7929688
2011-11-30 03:37:00,1.33205,1.33208,1.33193,1.33206,1246999969.482422
2011-11-30 03:38:00,1.33206,1.33215,1.33204,1.33215,537099990.8447266
2011-11-30 03:39:00,1.33217,1.33256,1.33216,1.33252,1293600006.1035156
2011-11-30 03:40:00,1.33252,1.33266,1.3325,1.33257,841800003.0517578
2011-11-30 03:41:00,1.33257,1.3326,1.3323,1.3323,809700012.2070312
2011-11-30 03:42:00,1.3323,1.3323,1.33204,1.33209,847600021.3623047
2011-11-30 03:43:00,1.33213,1.33223,1.33204,1.33209,1259899978.6376953
2011-11-30 03:44:00,1.33211,1.33211,1.33169,1.3318,957699966.430664
2011-11-30 03:45:00,1.3318,1.3318,1.33166,1.33169,948499984.7412108
2011-11-30 03:46:00,1.33172,1.33178,1.33172,1.33176,505999984.7412109
2011-11-30 03:47:00,1.33176,1.33176,1.33156,1.33168,1000599975.5859376
2011-11-30 03:48:00,1.33168,1.33169,1.33159,1.33162,843700027.4658203
2011-11-30 03:49:00,1.3316,1.33178,1.3316,1.33176,913799972.5341796
2011-11-30 03:50:00,1.33176,1.33183,1.33168,1.33179,1278899993.8964844
2011-11-30 03:51:00,1.3318,1.33187,1.33171,1.33187,1370500030.517578
2011-11-30 03:52:00,1.33186,1.33219,1.33182,1.33219,1735200042.7246094
2011-11-30 03:53:00,1.33219,1.33221,1.33185,1.33185,1622599945.0683594
2011-11-30 03:54:00,1.33185,1.33185,1.33168,1.33176,1003499984.7412108
2011-11-30 03:55:00,1.33176,1.33188,1.33173,1.33175,808099975.5859375
2011-11-30 03:56:00,1.33175,1.33196,1.33175,1.33196,510000000.0
2011-11-30 03:57:00,1.33196,1.33214,1.33194,1.33197,1268499984.741211
2011-11-30 03:58:00,1.33197,1.332,1.33189,1.33191,555699996.9482422
2011-11-30 03:59:00,1.33189,1.33198,1.33179,1.33181,670899963.3789062
2011-11-30 04:00:00,1.33181,1.33185,1.33166,1.33173,1420399932.861328
2011-11-30 04:01:00,1.33173,1.33173,1.33153,1.33153,869499969.4824219
2011-11-30 04:02:00,1.33154,1.33156,1.3314,1.33156,1004300003.0517578
2011-11-30 04:03:00,1.33156,1.33178,1.33156,1.3317,532000007.6293945
2011-11-30 04:04:00,1.3317,1.33183,1.33167,1.33169,676600036.6210938
2011-11-30 04:05:00,1.33169,1.33189,1.33169,1.33185,888499984.7412109
2011-11-30 04:06:00,1.33185,1.33197,1.33181,1.33195,941800003.0517578
2011-11-30 04:07:00,1.33195,1.33249,1.33195,1.33243,2084499969.4824216
2011-11-30 04:08:00,1.33243,1.33249,1.33239,1.33244,1455899963.3789062
2011-11-30 04:09:00,1.33246,1.33266,1.33239,1.33255,1687500000.0
2011-11-30 04:10:00,1.33253,1.33264,1.33248,1.3325,1329799957.2753906
2011-11-30 04:11:00,1.3325,1.33261,1.33248,1.33255,802600021.3623047
2011-11-30 04:12:00,1.33255,1.33263,1.33253,1.33263,420699996.9482422
2011-11-30 04:13:00,1.33263,1.33265,1.33252,1.33252,562599983.215332
2011-11-30 04:14:00,1.33251,1.33251,1.33215,1.33233,1786999969.482422
2011-11-30 04:15:00,1.33237,1.33248,1.33237,1.33248,549000015.2587891
2011-11-30 04:16:00,1.3325,1.3327,1.33233,1.33249,1660299987.7929688
2011-11-30 04:17:00,1.33249,1.33272,1.33243,1.33262,984800033.569336
2011-11-30 04:18:00,1.33265,1.33272,1.33265,1.33268,399599990.84472656
2011-11-30 04:19:00,1.33268,1.33269,1.33264,1.33265,345000000.0
2011-11-30 04:20:00,1.33263,1.33263,1.33248,1.33252,590900001.5258789
2011-11-30 04:21:00,1.33252,1.33269,1.3325,1.33269,964199981.6894532
2011-11-30 04:22:00,1.33275,1.33287,1.33275,1.33283,682099990.8447266
2011-11-30 04:23:00,1.33277,1.33277,1.33247,1.33247,570099983.215332
2011-11-30 04:24:00,1.33247,1.33269,1.33245,1.33268,705000000.0
2011-11-30 04:25:00,1.3327,1.3327,1.33267,1.3327,142500000.0
2011-11-30 04:26:00,1.33265,1.33272,1.33263,1.33265,770599975.5859375
2011-11-30 04:27:00,1.33265,1.33265,1.33228,1.33228,1049100036.6210938
